,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
61,2,2024,hoai duc,4.2,88.0,căn hộ chung cư,,2.0,,2.0,1.0,Not provided
62,2,2024,hoai duc,5.6,128.0,căn hộ chung cư,,,,,,Not provided
63,2,2024,south tu liem,5.7,126.0,căn hộ chung cư,,,,,,Not provided
64,1,2024,hoang mai,2.5,70.0,căn hộ chung cư,,1.0,5.0,3.0,1.0,Yes
65,1,2024,thanh xuan,3.55,85.0,căn hộ chung cư,,2.0,5.0,2.0,1.0,Yes
66,1,2024,hoang mai,3.75,116.0,căn hộ chung cư,6.0,2.0,10.0,3.0,1.0,Yes
67,1,2024,long bien,4.9,119.0,căn hộ chung cư,,3.0,,3.0,1.0,Yes
68,1,2024,thanh tri,3.3,120.0,căn hộ chung cư,,3.0,,4.0,1.0,Yes
69,1,2024,dong anh,2.53,85.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
70,1,2024,gia lam,2.6,64.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
71,1,2024,hoai duc,3.0,70.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
72,1,2024,thanh xuan,3.79,90.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
73,1,2024,gia lam,3.7,74.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
74,4,2023,cau giay,5.9,101.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
75,1,2024,south tu liem,3.6,109.0,căn hộ chung cư,,,,,,Not provided
76,4,2023,hai ba trung,2.22,80.0,căn hộ chung cư,,2.0,12.5,2.0,1.0,Yes
77,4,2023,thanh xuan,0.1,55.0,căn hộ chung cư,25.0,2.0,25.0,2.0,1.0,Yes
78,4,2023,south tu liem,2.5,55.0,căn hộ chung cư,12.0,1.0,40.0,2.0,1.0,Yes
79,4,2023,thanh xuan,6.5,103.0,căn hộ chung cư,35.0,2.0,40.0,3.0,1.0,Not provided
80,4,2023,thanh xuan,5.8,102.0,căn hộ chung cư,37.0,2.0,40.0,3.0,1.0,Yes
81,4,2023,south tu liem,1.3,31.0,căn hộ chung cư,9.0,1.0,60.0,1.0,1.0,Yes
82,4,2023,hai ba trung,1.95,60.0,căn hộ chung cư,1.0,1.0,5.0,2.0,1.0,Yes
83,4,2023,thanh tri,3.49,127.0,căn hộ chung cư,,,,,,Not provided
84,4,2023,ha dong,2.57,85.3,căn hộ chung cư,21.0,2.0,5.0,3.0,1.0,Yes
85,4,2023,cau giay,4.25,70.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
86,4,2023,ba dinh,2.7,60.0,căn hộ chung cư,,1.0,,2.0,1.0,Yes
87,4,2023,hoang mai,2.65,89.0,căn hộ chung cư,7.0,2.0,,3.0,1.0,Yes
88,4,2023,hoan kiem,2.485,45.0,căn hộ chung cư,1.0,,,2.0,1.0,Yes
89,3,2023,thanh xuan,2.1,85.0,căn hộ chung cư,,2.0,12.5,2.0,1.0,Not provided
90,3,2023,south tu liem,1.35,27.3,căn hộ chung cư,,,,,,Yes
91,3,2023,ha dong,2.5,60.0,căn hộ chung cư,41.0,2.0,40.0,2.0,1.0,Yes
92,3,2023,thanh xuan,3.8,120.0,căn hộ chung cư,,2.0,12.5,3.0,1.0,Yes
93,3,2023,hai ba trung,10.5,97.0,căn hộ chung cư,1.0,,40.0,,,Yes
94,3,2023,hoang mai,2.95,100.0,căn hộ chung cư,,2.0,12.5,3.0,1.0,Yes
95,3,2023,gia lam,2.9,76.1,căn hộ chung cư,31.0,2.0,,2.0,1.0,Yes
96,4,2023,thanh xuan,3.98,100.0,căn hộ chung cư,,2.0,5.0,2.0,1.0,Yes
97,3,2023,gia lam,2.7,69.0,căn hộ chung cư,37.0,2.0,,2.0,1.0,Yes
98,4,2023,hoai duc,1.78,69.0,căn hộ chung cư,11.0,2.0,17.5,2.0,1.0,Yes
99,3,2023,dong da,2.6,100.0,căn hộ chung cư,,,,2.0,,Yes
100,3,2023,cau giay,1.9,60.0,căn hộ chung cư,1.0,1.0,4.0,2.0,1.0,Yes
101,3,2023,thanh xuan,9.4,235.0,căn hộ chung cư,20.0,4.0,,3.0,1.0,Yes
102,3,2023,south tu liem,4.55,103.0,căn hộ chung cư,9.0,2.0,17.5,3.0,1.0,Yes
103,3,2023,hoang mai,1.0,70.0,căn hộ chung cư,,2.0,17.5,2.0,1.0,Yes
104,3,2023,hoang mai,0.35,70.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
105,3,2023,hoai duc,0.37,123.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
106,3,2023,hoang mai,0.4,68.0,căn hộ chung cư,10.0,2.0,,2.0,1.0,Yes
107,3,2023,hoang mai,0.35,70.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
108,3,2023,hoang mai,0.38,68.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
109,3,2023,hoai duc,2.49,72.0,căn hộ chung cư,21.0,2.0,,2.0,1.0,Yes
110,2,2023,long bien,2.57,75.6,căn hộ chung cư,,,,,,Not provided
111,2,2023,cau giay,6.0,131.0,căn hộ chung cư,,,,4.0,,Yes
112,2,2023,thanh xuan,2.4,80.0,căn hộ chung cư,,2.0,12.5,2.0,1.0,Yes
113,2,2023,gia lam,0.2,64.0,căn hộ chung cư,27.0,2.0,17.5,2.0,1.0,Yes
114,2,2023,north tu liem,4.1,82.0,căn hộ chung cư,,,,,,Yes
115,2,2023,south tu liem,3.2,61.0,căn hộ chung cư,,2.0,,2.0,,Yes
116,2,2023,south tu liem,2.2,42.0,căn hộ chung cư,,1.0,,1.0,,Not provided
117,2,2023,south tu liem,1.5,28.0,căn hộ chung cư,,,,,,Not provided
118,3,2023,south tu liem,3.0,75.0,căn hộ chung cư,,,9.0,,,Yes
119,2,2023,gia lam,1.43,70.0,căn hộ chung cư,12.0,2.0,12.5,2.0,1.0,Yes
120,3,2023,dong da,1.25,40.0,căn hộ chung cư,2.0,1.0,,1.0,1.0,Yes
121,3,2023,thanh xuan,1.85,60.0,căn hộ chung cư,,1.0,5.0,2.0,1.0,Yes
122,3,2023,thanh xuan,2.4,63.0,căn hộ chung cư,,1.0,10.0,2.0,1.0,Yes
123,3,2023,thanh tri,3.299,127.0,căn hộ chung cư,25.0,3.0,,4.0,1.0,Yes
124,3,2023,cau giay,1.55,42.0,căn hộ chung cư,7.0,1.0,12.5,1.0,1.0,Yes
125,2,2023,dong da,1.39,45.0,căn hộ chung cư,2.0,1.0,,1.0,1.0,Yes
126,2,2023,thanh tri,3.1,127.0,căn hộ chung cư,,3.0,,4.0,1.0,Yes
127,2,2023,dong da,2.8,100.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
128,2,2023,thanh tri,3.68,141.0,căn hộ chung cư,25.0,3.0,,4.0,1.0,Yes
129,2,2023,cau giay,1.9,60.0,căn hộ chung cư,1.0,1.0,5.0,2.0,,Yes
130,2,2023,hoang mai,3.2,78.0,căn hộ chung cư,14.0,2.0,17.5,2.0,1.0,Yes
131,2,2023,hoang mai,1.75,60.0,căn hộ chung cư,,1.0,12.5,2.0,1.0,Yes
132,2,2023,cau giay,1.6,40.0,căn hộ chung cư,,1.0,,1.0,1.0,Yes
133,2,2023,cau giay,2.25,65.0,căn hộ chung cư,,1.0,,2.0,1.0,Yes
134,2,2023,hoai duc,2.69,67.0,căn hộ chung cư,21.0,2.0,60.0,2.0,1.0,Yes
135,2,2023,hoai duc,3.24,80.0,căn hộ chung cư,21.0,2.0,60.0,3.0,1.0,Yes
136,2,2023,thanh xuan,1.45,45.0,căn hộ chung cư,1.0,1.0,,1.0,1.0,Yes
137,2,2023,thanh xuan,9.4,235.0,căn hộ chung cư,21.0,,,,,Yes
138,2,2023,dong da,1.2,40.0,căn hộ chung cư,3.0,1.0,,1.0,,Yes
139,2,2023,cau giay,3.65,112.0,căn hộ chung cư,10.0,2.0,40.0,3.0,,Yes
140,2,2023,hoang mai,4.58,135.0,căn hộ chung cư,16.0,2.0,17.5,3.0,1.0,Yes
141,2,2023,south tu liem,4.35,110.0,căn hộ chung cư,36.0,2.0,,3.0,1.0,Yes
