,Day,Month,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document,Latitude,Longitude
2674,21,3,2024,,8.5,135.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,21.0739704,105.790872
2675,25,3,2024,long biên,6.8,120.0,căn hộ chung cư,,,,,,Yes,21.0338481,105.8800161
2676,2,3,2024,hai bà trưng,2.4,120.0,căn hộ chung cư,2.0,3.0,,3.0,1.0,Yes,20.9959104,105.8576533
2677,4,3,2024,tây hồ,5.3,99.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,21.0649132,105.8058071
2678,4,3,2024,tây hồ,5.5,85.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,21.0649132,105.8058071
2679,4,3,2024,hai bà trưng,4.1,96.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,20.998116,105.8668634
2680,2,3,2024,hoài đức,4.2,95.0,căn hộ chung cư,3.0,2.0,25.0,3.0,1.0,Yes,21.0279052,105.7263152
2681,6,3,2024,gia lâm,2.35,64.0,căn hộ chung cư,,,,,,Not provided,20.9911379,105.9409495
2682,6,3,2024,,4.47,90.0,căn hộ chung cư,,2.0,,,1.0,Yes,21.0506076,105.7909724
2683,6,3,2024,,4.6,83.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,21.0506076,105.7909724
2684,1,3,2024,hoàng mai,2.78,77.0,căn hộ chung cư,,2.0,12.5,2.0,1.0,Yes,20.9835653,105.8716611
2685,6,3,2024,hà đông,1.58,76.0,căn hộ chung cư,,,,,,Not provided,20.9502034,105.7910665
2686,7,3,2024,tây hồ,6.5,81.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,21.0649132,105.8058071
2687,7,3,2024,tây hồ,12.0,165.0,căn hộ chung cư,,4.0,,4.0,2.0,Yes,21.0649132,105.8058071
2688,8,3,2024,,2.75,55.0,căn hộ chung cư,17.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2689,8,3,2024,tây hồ,5.3,99.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,21.0649132,105.8058071
2690,16,2,2024,hai bà trưng,4.55,77.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,20.9964212,105.8614391
2691,19,2,2024,tây hồ,5.3,99.0,căn hộ chung cư,,2.0,,3.0,,Not provided,21.0649132,105.8058071
2692,20,2,2024,,5.3,96.0,căn hộ chung cư,,2.0,,3.0,,Not provided,21.0739704,105.790872
2693,20,2,2024,cầu giấy,7.7,,căn hộ chung cư,,,,,,Not provided,21.0379862,105.7737345
2694,23,2,2024,cầu giấy,0.5,90.0,căn hộ chung cư,,2.0,40.0,2.0,1.0,Yes,21.0330549677479,105.78183206903381
2695,26,2,2024,tây hồ,5.0,99.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,21.0649132,105.8058071
2696,26,2,2024,tây hồ,5.5,85.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,21.0649132,105.8058071
2697,27,2,2024,cầu giấy,6.0,87.2,căn hộ chung cư,1.0,2.0,8.0,2.0,1.0,Yes,21.0301762,105.7885494
2698,28,2,2024,tây hồ,5.5,84.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,21.0649132,105.8058071
2699,19,1,2024,,2.18,43.0,căn hộ chung cư,,1.0,,1.0,1.0,Yes,21.0095815,105.7433896
2700,19,1,2024,,2.35,70.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,21.0846703,105.7855291
2701,19,1,2024,,2.18,43.0,căn hộ chung cư,,1.0,,2.0,,Yes,21.0088528,105.7439194
2702,20,1,2024,,1.45,28.0,căn hộ chung cư,,,,,,Yes,21.0088528,105.7439194
2703,21,1,2024,,2.56,54.6,căn hộ chung cư,,2.0,,1.0,,Yes,21.0046874,105.7412839
