,ID,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
7255,10370,1,2024,dong da,2.15,70.0,nha rieng,,1.0,5.0,3.0,1.0,So hong
7256,10371,1,2024,dong da,1.7,40.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7257,10373,4,2023,hai ba trung,1.35,40.0,nha rieng,3.0,1.0,5.0,2.0,1.0,So hong
7258,10374,4,2023,dong da,1.95,65.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7259,10375,4,2023,dong da,2.48,28.0,nha rieng,,,,,,So hong
7260,10376,4,2023,dong da,4.33,56.0,nha rieng,,,3.0,,,So hong
7261,10377,4,2023,ba dinh,7.25,35.0,nha rieng,4.0,3.0,,3.0,1.0,So hong
7262,10378,4,2023,tay ho,9.8,63.0,nha rieng,,,,,,not provided
7263,10379,4,2023,ba dinh,7.9,80.0,nha rieng,3.0,3.0,5.0,3.0,1.0,So hong
7264,10380,4,2023,dong da,2.45,63.0,nha rieng,3.0,,,3.0,,So hong
7265,10381,1,2024,thanh xuan,4.5,100.0,nha rieng,1.0,2.0,10.0,3.0,1.0,So hong
7266,10382,1,2024,hai ba trung,3.88,34.0,nha rieng,5.0,4.0,2.0,4.0,1.0,So hong
7267,10383,1,2024,dong da,2.19,45.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7268,10384,1,2024,hai ba trung,3.5,110.0,nha rieng,3.0,2.0,5.0,3.0,1.0,So hong
7269,10385,1,2024,dong da,2.4,50.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7270,10386,1,2024,hai ba trung,2.69,50.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7271,10387,1,2024,hai ba trung,5.48,31.0,nha rieng,4.0,3.0,6.0,3.0,1.0,So hong
7272,10388,1,2024,hai ba trung,2.2,45.0,nha rieng,2.0,1.0,,2.0,1.0,So hong
7273,10389,1,2024,thanh xuan,1.95,70.0,nha rieng,3.0,1.0,5.0,2.0,1.0,So hong
7274,10390,1,2024,dong da,2.3,75.0,nha rieng,,2.0,5.0,2.0,1.0,So hong
7275,10391,4,2023,hai ba trung,1.85,65.0,nha rieng,2.0,1.0,5.0,2.0,1.0,So hong
7276,10392,1,2024,hoan kiem,34.0,32.0,nha rieng,4.0,,,,,So hong
7277,10393,4,2023,dong da,1.36,35.0,nha rieng,3.0,1.0,5.0,1.0,1.0,So hong
7278,10394,4,2023,hai ba trung,2.7,65.0,nha rieng,,1.0,,2.0,1.0,So hong
7279,10395,4,2023,hai ba trung,2.25,70.0,nha rieng,,1.0,5.0,3.0,1.0,So hong
7280,10396,4,2023,ba dinh,1.98,55.0,nha rieng,3.0,1.0,5.0,2.0,1.0,So hong
7281,10397,4,2023,ba dinh,1.89,50.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7282,10398,4,2023,hoang mai,1.59,65.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7283,10399,4,2023,cau giay,7.0,55.0,nha rieng,5.0,6.0,,6.0,,So hong
7284,10400,4,2023,ba dinh,2.65,80.0,nha rieng,3.0,,5.0,2.0,1.0,So hong
7285,10401,4,2023,ba dinh,2.9,80.0,nha rieng,4.0,2.0,,2.0,1.0,Giay đo
7286,10402,4,2023,ba dinh,2.2,70.0,nha rieng,,1.0,,2.0,1.0,So hong
7287,10403,4,2023,ba dinh,2.6,55.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7288,10404,4,2023,ba dinh,1.88,50.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7289,10405,4,2023,ba dinh,1.99,70.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7290,10406,4,2023,dong da,2.55,90.0,nha rieng,,2.0,5.0,3.0,1.0,So hong
7291,10407,4,2023,hai ba trung,1.85,65.0,nha rieng,3.0,1.0,5.0,2.0,1.0,So hong
7292,10409,4,2023,hai ba trung,3.3,65.0,nha rieng,1.0,1.0,5.0,2.0,1.0,So hong
7293,10410,4,2023,thanh xuan,0.5,62.0,nha rieng,5.0,3.0,3.0,3.0,1.0,Giay đo
7294,10411,4,2023,dong da,2.25,60.0,nha rieng,2.0,1.0,5.0,2.0,1.0,So hong
7295,10412,4,2023,hai ba trung,7.7,55.0,nha rieng,5.0,5.0,,6.0,1.0,Giay đo
7296,10413,4,2023,hai ba trung,1.9,70.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7297,10414,4,2023,dong da,1.99,60.0,nha rieng,3.0,1.0,5.0,2.0,1.0,So hong
7298,10415,4,2023,thanh xuan,2.1,40.0,nha rieng,,1.0,5.0,1.0,1.0,So hong
7299,10416,4,2023,tay ho,11.6,52.0,nha rieng,7.0,6.0,4.0,4.0,2.0,So hong
7300,10417,4,2023,tay ho,11.6,52.0,nha rieng,7.0,6.0,4.0,4.0,1.0,So hong
7301,10418,4,2023,hai ba trung,4.75,100.0,nha rieng,1.0,1.0,,3.0,1.0,So hong
7302,10419,4,2023,dong da,1.49,35.0,nha rieng,,1.0,5.0,1.0,1.0,So hong
7303,10420,4,2023,hai ba trung,1.85,65.0,nha rieng,2.0,1.0,5.0,2.0,1.0,So hong
7304,10421,4,2023,hai ba trung,1.85,65.0,nha rieng,2.0,1.0,,2.0,1.0,So hong
7305,10422,4,2023,thanh xuan,1.5,45.0,nha rieng,2.0,1.0,5.0,2.0,1.0,So hong
7306,10423,4,2023,dong da,7.2,68.0,nha rieng,5.0,,5.0,4.0,1.0,So hong
7307,10424,4,2023,tay ho,3.9,30.0,nha rieng,5.0,4.0,,6.0,1.0,Giay đo
7308,10425,4,2023,dong da,1.95,55.0,nha rieng,1.0,2.0,5.0,2.0,1.0,So hong
7309,10426,4,2023,thanh xuan,2.75,110.0,nha rieng,1.0,2.0,5.0,2.0,1.0,So hong
7310,10428,4,2023,thanh xuan,1.55,55.0,nha rieng,2.0,1.0,,2.0,1.0,So hong
7311,10429,4,2023,ba dinh,2.28,60.0,nha rieng,,1.0,,2.0,1.0,So hong
7312,10430,4,2023,thanh xuan,2.28,100.0,nha rieng,2.0,,5.0,3.0,1.0,So hong
7313,10431,4,2023,long bien,2.55,30.0,nha rieng,5.0,4.0,2.0,3.0,1.0,So hong
7314,10432,4,2023,thanh xuan,1.98,70.0,nha rieng,3.0,,5.0,3.0,1.0,So hong
7315,10433,4,2023,hai ba trung,1.55,40.0,nha rieng,,1.0,5.0,1.0,1.0,So hong
7316,10434,4,2023,hai ba trung,1.23,40.0,nha rieng,,1.0,5.0,1.0,1.0,So hong
7317,10435,4,2023,hoan kiem,50.0,540.0,nha rieng,5.0,5.0,6.0,5.0,1.0,So hong
7318,10436,4,2023,hai ba trung,1.88,60.0,nha rieng,2.0,1.0,,2.0,1.0,So hong
7319,10437,4,2023,hai ba trung,2.85,60.0,nha rieng,,2.0,5.0,2.0,1.0,So hong
7320,10438,4,2023,hai ba trung,2.5,55.0,nha rieng,2.0,1.0,5.0,2.0,1.0,So hong
7321,10439,4,2023,tay ho,5.2,42.0,nha rieng,,,,,,So hong
7322,10440,4,2023,thanh xuan,1.35,35.0,nha rieng,,1.0,5.0,1.0,1.0,So hong
7323,10441,4,2023,hoang mai,2.25,65.0,nha rieng,,1.0,,2.0,1.0,So hong
7324,10442,4,2023,dong da,2.5,65.0,nha rieng,3.0,,8.0,2.0,1.0,So hong
7325,10443,4,2023,hai ba trung,2.15,80.0,nha rieng,2.0,,5.0,2.0,1.0,So hong
7326,10444,4,2023,hai ba trung,1.7,55.0,nha rieng,1.0,,3.0,2.0,1.0,So hong
7327,10445,4,2023,south tu liem,5.3,75.0,nha rieng,,,,,,not provided
7328,10446,4,2023,dong da,6.2,35.0,nha rieng,4.0,,7.0,,,So hong
7329,10447,4,2023,south tu liem,3.5,34.0,nha rieng,,,,,,not provided
7330,10448,4,2023,dong da,2.15,40.0,nha rieng,1.0,,3.0,,1.0,So hong
7331,10449,4,2023,hai ba trung,2.1,80.0,nha rieng,,,5.0,3.0,1.0,So hong
7332,10450,4,2023,thanh xuan,2.45,90.0,nha rieng,3.0,,5.0,3.0,1.0,So hong
7333,10451,4,2023,dong da,1.555,35.0,nha rieng,,1.0,5.0,1.0,1.0,So hong
7334,10452,4,2023,thanh xuan,1.48,40.0,nha rieng,,1.0,5.0,2.0,1.0,So hong
7335,10453,4,2023,tay ho,11.0,58.0,nha rieng,,,,,,not provided
7336,10454,4,2023,hai ba trung,1.98,60.0,nha rieng,2.0,,5.0,2.0,1.0,So hong
7337,10455,4,2023,hai ba trung,2.3,80.0,nha rieng,3.0,,,2.0,1.0,So hong
7338,10456,4,2023,tay ho,4.65,36.0,nha rieng,5.0,4.0,3.0,3.0,1.0,Giay đo
7339,10458,4,2023,cau giay,14.2,66.0,nha rieng,,,,,,not provided
7340,10460,4,2023,cau giay,4.5,35.0,nha rieng,5.0,4.0,,4.0,1.0,Giay đo
7341,10461,4,2023,cau giay,5.85,45.0,nha rieng,5.0,5.0,,5.0,1.0,Giay đo
7342,10462,4,2023,tay ho,9.4,50.0,nha rieng,,,,,,not provided
7343,10463,4,2023,hai ba trung,5.75,56.0,nha rieng,5.0,4.0,2.0,5.0,1.0,Giay đo
7344,10464,4,2023,tay ho,11.8,60.0,nha rieng,,,,,,not provided
7345,10465,4,2023,dong da,2.5,70.0,nha rieng,3.0,,10.0,3.0,1.0,So hong
7346,10466,4,2023,hai ba trung,2.65,80.0,nha rieng,2.0,1.0,,2.0,1.0,So hong
7347,10467,4,2023,tay ho,10.8,53.0,nha rieng,,,,,,not provided
7348,10468,4,2023,hoai duc,2.3,35.0,nha rieng,4.0,3.0,3.0,4.0,1.0,Giay đo
